job,marital,education,default,housing,loan,contact,month,day_of_week,y
technician,married,university.degree,no,no,no,cellular,aug,thu,no
admin.,married,university.degree,no,yes,no,cellular,aug,thu,no
technician,divorced,professional.course,no,no,no,cellular,aug,thu,no
management,single,university.degree,no,yes,no,cellular,aug,thu,no
technician,married,high.school,no,yes,yes,cellular,aug,thu,no
admin.,married,university.degree,no,no,no,telephone,aug,thu,no
admin.,married,university.degree,no,yes,no,cellular,aug,thu,no
technician,divorced,professional.course,no,yes,no,cellular,aug,thu,no
technician,married,high.school,no,no,no,cellular,aug,thu,no
unemployed,single,university.degree,no,yes,yes,cellular,aug,thu,no
unemployed,single,university.degree,no,yes,no,cellular,aug,thu,no
technician,single,professional.course,no,no,no,cellular,aug,thu,no
admin.,single,university.degree,no,no,no,cellular,aug,thu,no
admin.,single,university.degree,no,yes,no,cellular,aug,thu,no
technician,married,professional.course,no,yes,no,cellular,aug,thu,no
admin.,divorced,university.degree,no,yes,no,telephone,aug,thu,no
management,married,university.degree,no,no,no,cellular,aug,fri,no
management,married,university.degree,no,yes,no,cellular,aug,fri,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,no
admin.,divorced,university.degree,unknown,no,no,cellular,aug,fri,no
admin.,married,basic.9y,unknown,yes,no,cellular,aug,fri,no
technician,married,university.degree,no,yes,yes,cellular,aug,fri,no
blue-collar,married,basic.9y,unknown,no,no,cellular,aug,fri,no
admin.,married,high.school,no,yes,no,cellular,aug,fri,no
entrepreneur,married,basic.4y,unknown,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
self-employed,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,yes,cellular,aug,fri,no
technician,divorced,university.degree,no,yes,no,cellular,aug,fri,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,no
self-employed,married,university.degree,no,no,no,cellular,aug,fri,no
blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,no
technician,single,university.degree,no,no,no,telephone,aug,fri,no
technician,single,professional.course,no,no,no,cellular,aug,fri,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,no
technician,single,university.degree,no,no,no,cellular,aug,fri,no
technician,single,university.degree,no,no,no,cellular,aug,fri,no
blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,no
management,divorced,university.degree,no,no,no,telephone,aug,fri,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,no
technician,married,high.school,unknown,no,no,cellular,aug,fri,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,no
self-employed,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,yes,cellular,aug,fri,no
technician,married,high.school,no,unknown,unknown,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,unknown,yes,yes,cellular,aug,fri,no
technician,married,professional.course,no,no,no,cellular,aug,fri,no
services,married,professional.course,no,unknown,unknown,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
technician,single,university.degree,no,no,no,cellular,aug,fri,no
technician,divorced,professional.course,no,yes,yes,cellular,aug,fri,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,no
services,married,basic.6y,unknown,no,no,cellular,aug,fri,no
blue-collar,married,professional.course,no,no,no,cellular,aug,fri,no
admin.,divorced,professional.course,no,yes,yes,cellular,aug,fri,no
technician,married,university.degree,no,yes,no,cellular,aug,fri,no
services,married,basic.6y,unknown,yes,no,cellular,aug,fri,no
admin.,divorced,university.degree,no,yes,yes,cellular,aug,fri,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,unknown,no,yes,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,no,yes,cellular,aug,fri,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,no,no,cellular,aug,fri,no
admin.,married,high.school,no,no,no,cellular,aug,fri,no
management,married,university.degree,unknown,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,no,no,cellular,aug,fri,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,no
retired,married,university.degree,no,yes,no,cellular,aug,fri,no
services,married,high.school,no,yes,no,cellular,aug,fri,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,telephone,aug,fri,no
unknown,married,unknown,unknown,no,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,no
blue-collar,married,basic.9y,no,no,yes,cellular,aug,fri,no
technician,divorced,high.school,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,unknown,no,yes,cellular,aug,fri,no
admin.,married,high.school,no,yes,no,cellular,aug,fri,no
unknown,married,unknown,unknown,yes,no,cellular,aug,fri,no
technician,married,university.degree,no,yes,no,cellular,aug,fri,no
management,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
services,divorced,high.school,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,yes,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,unknown,yes,yes,cellular,aug,fri,no
retired,married,high.school,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,unknown,no,no,cellular,aug,fri,no
retired,married,basic.9y,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
technician,single,professional.course,no,no,no,cellular,aug,fri,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,unknown,yes,yes,cellular,aug,fri,no
admin.,married,university.degree,unknown,no,no,cellular,aug,fri,no
admin.,married,university.degree,unknown,yes,no,cellular,aug,fri,no
technician,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,married,high.school,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,unknown,unknown,cellular,aug,fri,no
admin.,divorced,university.degree,no,unknown,unknown,cellular,aug,fri,no
admin.,divorced,university.degree,no,no,no,cellular,aug,fri,no
admin.,married,professional.course,no,yes,no,cellular,aug,fri,no
admin.,divorced,university.degree,unknown,no,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,telephone,aug,fri,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,unknown,unknown,cellular,aug,fri,no
technician,divorced,university.degree,no,no,yes,cellular,aug,fri,no
technician,married,unknown,no,yes,no,cellular,aug,fri,no
admin.,married,high.school,unknown,yes,no,cellular,aug,fri,no
admin.,married,high.school,unknown,yes,no,cellular,aug,fri,no
technician,married,high.school,no,yes,no,cellular,aug,fri,no
admin.,married,high.school,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,unknown,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,yes,yes,cellular,aug,fri,no
services,married,high.school,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,no
technician,married,high.school,no,no,yes,cellular,aug,fri,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,no
housemaid,married,basic.4y,no,yes,no,telephone,aug,fri,no
management,married,university.degree,no,yes,yes,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,telephone,aug,fri,no
admin.,married,high.school,unknown,no,no,cellular,aug,fri,no
services,married,unknown,no,no,no,telephone,aug,fri,no
technician,single,high.school,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,telephone,aug,fri,no
technician,married,university.degree,unknown,no,no,cellular,aug,fri,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,no
management,married,university.degree,no,no,no,cellular,aug,fri,no
blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,no
technician,married,university.degree,unknown,yes,no,cellular,aug,fri,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
services,married,high.school,no,yes,no,cellular,aug,fri,no
technician,single,university.degree,unknown,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,no
unknown,married,unknown,unknown,yes,no,cellular,aug,fri,no
entrepreneur,married,university.degree,no,yes,no,cellular,aug,fri,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,no
admin.,married,basic.9y,no,unknown,unknown,cellular,aug,fri,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
management,married,university.degree,no,no,no,cellular,aug,fri,no
technician,married,high.school,no,no,no,cellular,aug,fri,no
unemployed,married,university.degree,no,yes,no,cellular,aug,fri,no
technician,divorced,professional.course,unknown,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,yes,cellular,aug,fri,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,no
technician,married,high.school,no,yes,no,telephone,aug,fri,no
unemployed,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,no
self-employed,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,no
self-employed,married,university.degree,no,yes,no,cellular,aug,fri,no
blue-collar,married,basic.4y,no,no,no,cellular,aug,fri,no
self-employed,married,university.degree,no,no,no,cellular,aug,fri,no
self-employed,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,divorced,professional.course,no,yes,no,telephone,aug,fri,no
technician,single,university.degree,no,no,no,telephone,aug,fri,no
admin.,married,basic.9y,no,no,no,cellular,aug,fri,no
admin.,single,university.degree,unknown,no,yes,cellular,aug,fri,no
blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,yes,cellular,aug,fri,no
retired,married,basic.4y,no,yes,no,telephone,aug,fri,no
technician,married,university.degree,unknown,unknown,unknown,cellular,aug,fri,no
retired,married,basic.4y,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,yes,no,telephone,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
technician,single,high.school,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
technician,married,high.school,no,yes,no,telephone,aug,fri,no
management,single,university.degree,no,no,no,cellular,aug,fri,no
unemployed,single,university.degree,no,yes,no,telephone,aug,fri,no
technician,divorced,professional.course,unknown,yes,yes,cellular,aug,fri,no
services,married,high.school,unknown,no,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
technician,married,high.school,no,no,no,cellular,aug,fri,no
technician,married,high.school,no,unknown,unknown,cellular,aug,fri,no
unknown,married,unknown,unknown,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,yes,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,divorced,university.degree,unknown,no,no,telephone,aug,fri,no
technician,married,university.degree,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,no,yes,cellular,aug,fri,no
management,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,divorced,university.degree,no,yes,yes,cellular,aug,fri,no
admin.,divorced,university.degree,unknown,no,no,cellular,aug,fri,no
blue-collar,married,basic.9y,no,no,no,cellular,aug,fri,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,basic.9y,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,telephone,aug,fri,no
management,married,university.degree,no,yes,yes,telephone,aug,fri,no
management,married,university.degree,no,no,no,telephone,aug,fri,no
unemployed,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,no
technician,divorced,high.school,unknown,yes,no,telephone,aug,fri,no
admin.,married,basic.9y,no,no,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,telephone,aug,fri,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,telephone,aug,fri,no
admin.,married,university.degree,no,no,no,telephone,aug,fri,no
blue-collar,married,basic.4y,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,no,yes,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
housemaid,married,basic.4y,unknown,yes,no,telephone,aug,fri,no
technician,married,professional.course,no,no,no,cellular,aug,fri,no
retired,married,basic.4y,no,yes,no,cellular,aug,fri,no
technician,married,professional.course,no,yes,yes,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,telephone,aug,fri,no
technician,single,professional.course,unknown,yes,yes,cellular,aug,fri,no
retired,married,unknown,no,yes,yes,cellular,aug,fri,no
self-employed,married,high.school,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,no
retired,married,unknown,no,no,yes,cellular,aug,fri,no
retired,married,basic.4y,no,yes,yes,cellular,aug,fri,no
technician,married,professional.course,no,yes,no,telephone,aug,fri,no
admin.,married,high.school,no,yes,no,telephone,oct,fri,no
admin.,married,high.school,no,yes,yes,telephone,oct,fri,yes
blue-collar,married,basic.9y,no,no,no,telephone,oct,fri,yes
unknown,married,unknown,no,no,no,telephone,oct,fri,yes
entrepreneur,married,university.degree,no,no,no,telephone,oct,fri,yes
technician,single,professional.course,no,no,no,telephone,oct,fri,no
self-employed,single,university.degree,no,no,no,telephone,oct,fri,no
admin.,divorced,high.school,no,yes,no,telephone,oct,fri,no
self-employed,married,basic.4y,no,no,no,telephone,oct,fri,yes
technician,married,professional.course,no,yes,yes,telephone,oct,mon,no
management,married,university.degree,no,yes,no,telephone,oct,mon,no
entrepreneur,married,university.degree,no,yes,yes,telephone,oct,mon,no
admin.,married,high.school,no,no,no,telephone,oct,mon,yes
technician,divorced,professional.course,no,unknown,unknown,telephone,oct,mon,no
admin.,single,university.degree,no,yes,yes,telephone,oct,mon,yes
technician,divorced,university.degree,no,no,yes,telephone,oct,mon,yes
blue-collar,single,unknown,no,yes,no,telephone,oct,tue,no
admin.,divorced,high.school,no,yes,no,telephone,oct,tue,yes
admin.,married,university.degree,no,no,no,telephone,oct,tue,yes
housemaid,married,high.school,no,no,no,telephone,oct,tue,yes
admin.,married,high.school,no,no,no,telephone,oct,tue,yes
blue-collar,married,professional.course,no,no,no,telephone,oct,tue,no
services,married,high.school,no,yes,no,telephone,oct,tue,yes
blue-collar,married,basic.9y,no,yes,no,telephone,oct,tue,no
blue-collar,married,unknown,no,yes,no,telephone,oct,tue,no
student,single,high.school,no,no,no,telephone,oct,tue,yes
admin.,single,high.school,no,no,no,telephone,oct,tue,no
technician,single,university.degree,no,no,no,telephone,oct,wed,yes
technician,married,high.school,no,no,no,telephone,oct,wed,yes
technician,married,professional.course,no,no,no,telephone,oct,wed,no
self-employed,married,high.school,no,yes,no,telephone,oct,wed,yes
admin.,married,university.degree,no,no,no,telephone,oct,wed,yes
admin.,single,high.school,no,yes,no,telephone,oct,wed,yes
services,married,high.school,no,yes,no,telephone,oct,thu,no
services,single,high.school,no,yes,no,telephone,oct,thu,yes
technician,married,professional.course,no,no,no,telephone,oct,thu,yes
blue-collar,married,basic.9y,no,yes,no,telephone,oct,fri,yes
retired,married,university.degree,no,yes,no,telephone,oct,fri,no
admin.,married,high.school,no,yes,no,telephone,oct,fri,yes
entrepreneur,married,basic.9y,no,yes,no,telephone,oct,fri,no
admin.,divorced,university.degree,no,no,no,telephone,oct,mon,yes
technician,single,professional.course,no,yes,no,telephone,oct,mon,yes
admin.,married,university.degree,no,no,yes,telephone,oct,mon,no
admin.,married,university.degree,no,yes,no,telephone,oct,mon,yes
admin.,single,university.degree,no,yes,no,telephone,oct,mon,no
admin.,single,university.degree,no,yes,no,telephone,oct,mon,yes
blue-collar,single,professional.course,no,yes,no,telephone,oct,mon,no
admin.,single,university.degree,no,yes,no,telephone,oct,tue,yes
blue-collar,married,basic.9y,no,no,no,telephone,oct,tue,no
technician,divorced,high.school,no,yes,no,telephone,oct,tue,yes
blue-collar,married,basic.6y,no,yes,no,telephone,oct,tue,yes
admin.,single,university.degree,no,no,no,telephone,oct,tue,yes
admin.,single,university.degree,no,no,no,telephone,oct,tue,yes
entrepreneur,married,university.degree,no,yes,no,telephone,oct,tue,yes
technician,married,professional.course,no,yes,no,telephone,oct,wed,yes
blue-collar,married,basic.6y,no,no,no,telephone,oct,wed,no
admin.,married,university.degree,no,no,no,telephone,oct,wed,yes
admin.,married,university.degree,no,no,no,telephone,oct,wed,no
blue-collar,single,high.school,no,yes,no,telephone,oct,wed,yes
self-employed,single,university.degree,no,yes,no,telephone,oct,thu,yes
technician,married,high.school,no,no,no,telephone,oct,thu,yes
technician,single,university.degree,no,no,no,telephone,oct,thu,yes
blue-collar,divorced,high.school,no,yes,no,telephone,oct,thu,yes
admin.,divorced,high.school,no,no,no,telephone,oct,thu,no
entrepreneur,married,basic.4y,no,no,no,telephone,oct,fri,yes
management,married,university.degree,no,no,no,telephone,oct,fri,yes
admin.,married,university.degree,no,no,no,cellular,oct,fri,no
admin.,married,university.degree,no,yes,no,telephone,nov,mon,no
admin.,married,university.degree,no,no,no,telephone,nov,mon,no
admin.,married,university.degree,no,no,no,cellular,nov,tue,no
admin.,single,university.degree,no,no,yes,telephone,nov,tue,no
technician,married,professional.course,no,yes,no,telephone,nov,tue,yes
management,married,university.degree,no,yes,yes,telephone,nov,tue,no
retired,divorced,university.degree,no,yes,no,telephone,nov,tue,no
admin.,married,high.school,no,yes,no,telephone,nov,tue,no
blue-collar,married,basic.9y,no,no,no,telephone,nov,tue,yes
entrepreneur,married,university.degree,no,no,no,telephone,nov,tue,yes
technician,married,professional.course,no,yes,no,telephone,nov,wed,no
unknown,married,unknown,no,no,no,telephone,nov,wed,yes
admin.,married,university.degree,no,yes,no,telephone,nov,wed,no
admin.,divorced,university.degree,no,no,no,telephone,nov,wed,no
management,married,university.degree,no,yes,no,telephone,nov,wed,yes
management,married,university.degree,no,yes,no,telephone,nov,wed,yes
self-employed,married,professional.course,no,no,no,telephone,nov,wed,yes
blue-collar,married,basic.9y,no,yes,yes,telephone,nov,wed,no
admin.,married,university.degree,no,no,yes,telephone,nov,wed,no
admin.,single,high.school,no,yes,no,telephone,nov,thu,yes
admin.,married,high.school,no,yes,no,telephone,nov,thu,no
technician,married,university.degree,no,yes,no,cellular,nov,thu,yes
admin.,married,university.degree,no,no,no,telephone,nov,thu,no
blue-collar,married,basic.9y,no,yes,no,telephone,nov,fri,yes
admin.,married,basic.9y,no,yes,no,telephone,nov,fri,yes
retired,married,high.school,no,yes,no,cellular,nov,fri,no
admin.,single,university.degree,no,no,no,telephone,nov,mon,no
technician,single,professional.course,no,yes,no,telephone,nov,mon,no
student,single,university.degree,no,yes,no,telephone,nov,mon,no
management,single,university.degree,no,no,yes,telephone,nov,mon,no
student,single,unknown,no,unknown,unknown,telephone,nov,mon,yes
technician,married,professional.course,no,no,no,telephone,nov,mon,no
retired,divorced,basic.9y,no,yes,no,telephone,nov,mon,yes
management,divorced,university.degree,no,no,no,telephone,nov,tue,no
services,married,basic.6y,no,no,no,telephone,nov,tue,no
admin.,divorced,university.degree,no,no,no,telephone,nov,tue,no
unemployed,married,professional.course,no,yes,no,telephone,nov,tue,yes
services,married,high.school,no,no,no,telephone,nov,tue,yes
admin.,married,high.school,no,yes,no,telephone,nov,wed,yes
management,divorced,university.degree,no,no,no,telephone,nov,wed,yes
technician,divorced,professional.course,no,yes,no,cellular,nov,wed,no
housemaid,married,university.degree,no,yes,no,telephone,nov,wed,no
admin.,married,high.school,no,no,no,telephone,nov,wed,no
blue-collar,married,professional.course,no,yes,no,telephone,nov,wed,no
admin.,married,university.degree,no,yes,no,telephone,nov,wed,no
admin.,single,university.degree,no,no,no,telephone,nov,thu,no
student,single,high.school,no,no,no,telephone,nov,thu,no
self-employed,single,university.degree,no,no,no,telephone,nov,thu,no
student,single,professional.course,no,no,no,telephone,nov,thu,no
self-employed,married,university.degree,no,yes,no,telephone,nov,thu,no
admin.,single,basic.9y,no,unknown,unknown,telephone,nov,thu,no
admin.,married,professional.course,no,yes,no,telephone,nov,thu,yes
blue-collar,married,basic.9y,no,unknown,unknown,telephone,nov,thu,yes
admin.,single,high.school,no,no,no,telephone,nov,thu,no
admin.,divorced,university.degree,no,no,yes,cellular,nov,fri,yes
technician,single,professional.course,no,yes,no,telephone,nov,fri,yes
management,married,university.degree,no,yes,no,telephone,nov,fri,no
management,married,university.degree,no,no,no,telephone,nov,fri,yes
management,married,university.degree,no,yes,no,telephone,nov,mon,no
technician,single,unknown,no,no,no,telephone,nov,mon,no
technician,divorced,professional.course,no,no,no,cellular,nov,mon,no
technician,married,professional.course,unknown,no,no,cellular,nov,mon,no
services,married,high.school,no,no,no,telephone,nov,mon,no
services,married,high.school,no,no,no,cellular,nov,mon,no
admin.,married,high.school,no,no,no,cellular,nov,mon,no
technician,divorced,university.degree,no,no,no,cellular,nov,mon,no
self-employed,married,university.degree,no,no,no,telephone,nov,mon,no
management,married,university.degree,no,yes,yes,cellular,nov,mon,no
blue-collar,divorced,basic.4y,no,no,no,cellular,nov,mon,no
blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,no
self-employed,divorced,high.school,no,yes,no,cellular,nov,mon,no
admin.,single,high.school,no,no,no,cellular,nov,mon,no
services,married,unknown,no,no,no,cellular,nov,mon,no
blue-collar,divorced,basic.9y,no,yes,no,cellular,nov,mon,no
management,single,university.degree,no,yes,no,cellular,nov,mon,no
management,married,university.degree,no,yes,no,cellular,nov,mon,no
technician,married,unknown,no,no,no,cellular,nov,mon,no
admin.,single,high.school,no,yes,no,cellular,nov,mon,no
management,married,high.school,no,yes,no,cellular,nov,mon,no
admin.,married,university.degree,no,yes,yes,cellular,nov,mon,no
blue-collar,married,high.school,unknown,yes,no,cellular,nov,mon,no
blue-collar,married,high.school,unknown,yes,no,cellular,nov,mon,no
entrepreneur,married,university.degree,no,yes,no,cellular,nov,mon,no
retired,married,university.degree,no,no,no,cellular,nov,mon,no
services,married,high.school,no,yes,no,cellular,nov,mon,no
management,married,university.degree,no,yes,no,cellular,nov,mon,no
management,married,university.degree,no,yes,no,cellular,nov,mon,no
management,married,university.degree,no,yes,no,cellular,nov,mon,no
admin.,married,university.degree,no,no,no,telephone,nov,mon,no
technician,divorced,high.school,no,yes,no,cellular,nov,mon,no
admin.,divorced,university.degree,no,yes,no,cellular,nov,mon,no
admin.,single,university.degree,no,yes,no,cellular,nov,mon,no
blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,mon,no
retired,single,basic.9y,no,no,no,cellular,nov,mon,no
technician,married,professional.course,no,no,no,cellular,nov,mon,no
unemployed,married,basic.9y,no,yes,no,cellular,nov,mon,no
unemployed,divorced,high.school,no,no,yes,cellular,nov,mon,no
unemployed,divorced,high.school,no,yes,yes,cellular,nov,mon,no
unemployed,divorced,high.school,no,no,no,cellular,nov,mon,no
unemployed,divorced,high.school,no,yes,no,cellular,nov,mon,no
technician,married,professional.course,no,yes,no,cellular,nov,mon,no
technician,married,professional.course,no,no,no,cellular,nov,mon,no
entrepreneur,married,university.degree,no,no,no,cellular,nov,mon,no
management,married,university.degree,no,yes,no,cellular,nov,mon,no
admin.,married,high.school,no,no,no,cellular,nov,mon,no
admin.,married,high.school,no,yes,no,cellular,nov,mon,no
blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,no
admin.,married,university.degree,no,no,yes,cellular,nov,mon,no
management,divorced,university.degree,no,yes,no,cellular,nov,mon,no
blue-collar,married,basic.6y,unknown,no,yes,cellular,nov,mon,no
admin.,married,university.degree,no,yes,no,cellular,nov,mon,no
management,married,university.degree,no,no,no,cellular,nov,mon,no
unemployed,married,basic.4y,no,yes,no,cellular,nov,mon,no
services,married,high.school,no,no,no,cellular,nov,mon,no
technician,married,professional.course,no,no,no,cellular,nov,mon,no
admin.,married,basic.4y,no,yes,no,cellular,nov,mon,no
admin.,married,high.school,unknown,yes,no,cellular,nov,mon,no
management,married,university.degree,no,no,no,cellular,nov,mon,no
admin.,single,high.school,unknown,yes,no,cellular,nov,mon,no
management,married,university.degree,no,yes,no,cellular,nov,mon,no
admin.,single,high.school,unknown,yes,no,cellular,nov,mon,no
blue-collar,married,high.school,no,yes,no,cellular,nov,mon,no
self-employed,married,university.degree,no,no,no,cellular,nov,mon,no
admin.,married,university.degree,no,no,no,cellular,nov,mon,no
services,married,basic.4y,no,no,no,cellular,nov,mon,no
services,married,basic.4y,no,yes,no,cellular,nov,mon,no
technician,single,university.degree,no,yes,no,cellular,nov,mon,no
services,divorced,high.school,no,yes,no,cellular,nov,mon,no
blue-collar,married,unknown,no,no,no,cellular,nov,mon,no
blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,no
admin.,single,university.degree,unknown,no,no,cellular,nov,mon,no
management,married,high.school,no,yes,no,cellular,nov,mon,no
admin.,married,university.degree,no,yes,no,cellular,nov,mon,no
blue-collar,married,unknown,no,yes,no,cellular,nov,mon,no
self-employed,married,university.degree,no,no,no,cellular,nov,mon,no
management,married,basic.6y,no,no,no,cellular,nov,mon,no
admin.,single,university.degree,unknown,yes,no,cellular,nov,mon,no
unemployed,married,university.degree,no,yes,no,cellular,nov,mon,no
management,married,university.degree,no,no,no,cellular,nov,mon,no
unemployed,married,university.degree,no,unknown,unknown,cellular,nov,mon,no
blue-collar,married,high.school,no,no,yes,cellular,nov,mon,no
admin.,married,basic.9y,no,no,no,cellular,nov,mon,no
management,married,university.degree,no,yes,no,cellular,nov,mon,no
blue-collar,divorced,professional.course,no,yes,no,cellular,nov,mon,no
management,married,university.degree,no,yes,no,cellular,nov,mon,no
management,married,university.degree,no,yes,yes,cellular,nov,mon,no
self-employed,divorced,university.degree,no,no,no,cellular,nov,mon,no
blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,yes
blue-collar,divorced,high.school,no,no,no,telephone,nov,mon,no
blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,yes
blue-collar,divorced,professional.course,no,no,no,cellular,nov,mon,yes
management,divorced,university.degree,unknown,no,no,cellular,nov,mon,no
admin.,divorced,university.degree,no,yes,no,cellular,nov,mon,no
technician,married,basic.9y,no,no,no,cellular,nov,mon,no
management,single,basic.9y,no,no,yes,telephone,nov,mon,no
management,single,basic.9y,no,yes,no,cellular,nov,mon,no
blue-collar,single,basic.9y,no,yes,no,cellular,nov,mon,no
entrepreneur,divorced,university.degree,no,no,no,cellular,nov,mon,no
services,married,high.school,no,no,no,cellular,nov,mon,no
admin.,divorced,university.degree,no,no,no,cellular,nov,mon,no
